title,theme
"Aftershot Pro: Non-destructive photo editing and management
Book",Business&Other
"JIRA Development Cookbook - Third Edition
Book",Business&Other
"JIRA 7 Essentials - Fourth Edition
Book",Business&Other
"Microsoft Dynamics NAV 2013 Application Design
Book",Business&Other
"Microsoft Dynamics NAV Financial Management
Book",Business&Other
"Mastering Microsoft Dynamics AX 2012 R3 Programming
Book",Business&Other
"Developing SSRS Reports for Dynamics AX
Book",Business&Other
"Implementing Lean Six Sigma in 30 Days
Book",Business&Other
"Kanban in 30 Days
Book",Business&Other
"Enterprise Integration with WSO2 ESB
Book",Business&Other
"Mastering JIRA
Book",Business&Other
"Microsoft Dynamics NAV 2015 Professional Reporting
Book",Business&Other
"Redmine Cookbook
Book",Business&Other
"Practical XMPP
Book",Business&Other
"Mastering JIRA 7 - Second Edition
Book",Business&Other
"Building Dashboards with Microsoft Dynamics GP 2016 - Second Edition
Book",Business&Other
"ImageMagick Tricks
Book",Business&Other
"Learning Perforce SCM
Book",Business&Other
"FreePBX 2.5 Powerful Telephony Solutions
Book",Business&Other
"Microsoft Dynamics AX 2009 Programming: Getting Started
Book",Business&Other
"Inkscape 0.48 Essentials for Web Designers
Book",Business&Other
"Mastering Redmine
Book",Business&Other
"Developing Microsoft Dynamics GP Business Applications
Book",Business&Other
"Microsoft Windows Workflow Foundation 4.0 Cookbook
Book",Business&Other
"Microsoft Dynamics NAV 2009 Application Design
Book",Business&Other
"Getting Started with Oracle BPM Suite 11gR1 - A Hands-On Tutorial
Book",Business&Other
"JIRA Development Cookbook
Book",Business&Other
"Microsoft Dynamics NAV 2009: Professional Reporting
Book",Business&Other
"Oracle Primavera P6 Version 8: Project and Portfolio Management
Book",Business&Other
"Facebook Application Development with Graph API Cookbook
Book",Business&Other
"Communication Toolkit for Introverts
Book",Business&Other
"The Complete Guide to DAZ Studio 4
Book",Business&Other
"Getting Started with DraftSight
Book",Business&Other
"Real-world Business Intelligence with Microsoft Dynamics GP
Book",Business&Other
"Lumion 3D Cookbook
Book",Business&Other
"Practical UX Design
Book",Business&Other
"Motivate Your Team in 30 Days
Book",Business&Other
"BMC Control-M 7: A Journey from Traditional Batch Scheduling to Workload Automation
Book",Business&Other
"Photographic Rendering with V-Ray for SketchUp
Book",Business&Other
"Apple Motion 5 Cookbook
Book",Business&Other
"Learning Adobe Connect 9
Book",Business&Other
"Learning Pixelmator
Book",Business&Other
"Learning AWS OpsWorks
Book",Business&Other
"Drools JBoss Rules 5.X Developer�s Guide
Book",Business&Other
"Mastering Gamification: Customer Engagement in 30 Days
Book",Business&Other
"Marketing Automation with Eloqua
Book",Business&Other
"Vaadin 7 UI Design By Example: Beginner�s Guide
Book",Business&Other
"Visualforce Developer's guide
Book",Business&Other
"Microsoft Dynamics GP 2013 Implementation
Book",Business&Other
"Time Management for New Employees
Book",Business&Other
"JIRA 6.x Administration Cookbook
Book",Business&Other
"Microsoft Dynamics AX 2012 Financial Management
Book",Business&Other
"Microsoft Dynamics AX 2012 R3 Security
Book",Business&Other
"Learning Microsoft Windows Server 2012 Dynamic Access Control
Book",Business&Other
"Practical Change Management for IT Projects
Book",Business&Other
"Conducting a Telephone Interview
Book",Business&Other
"Essential Meeting Blueprints for Managers
Book",Business&Other
"The Small Business' Guide to Social CRM
Book",Business&Other
"Ext JS 4 Plugin and Extension Development
Book",Business&Other
"SketchUp 2014 for Architectural Visualization
Book",Business&Other
"Delivering Time Management for IT Professionals: A Trainer's Manual
Book",Business&Other
"Managing Windows Servers with Chef
Book",Business&Other
"JIRA 5.x Development Cookbook
Book",Business&Other
"AngularJS UI Development
Book",Business&Other
"Microsoft Dynamics AX 2012 R2 Services
Book",Business&Other
"JIRA 7 Administration Cookbook - Second Edition
Book",Business&Other
"Getting Started with Gulp
Book",Business&Other
"Learning AngularJS Animations
Book",Business&Other
"OpenCart Theme and Module Development
Book",Business&Other
"Programming Microsoft Dynamics NAV 2015
Book",Business&Other
"SOA Patterns with BizTalk Server 2013 and Microsoft Azure - Second Edition
Book",Business&Other
"Microsoft Operations Management Suite Cookbook
Book",Business&Other
"Microsoft Dynamics AX 2012 R3 Development Cookbook
Book",Business&Other
"Microsoft Dynamics AX Implementation Guide
Book",Business&Other
"Exploring Experience Design
Book",Business&Other
"Python Interviews
Book",Business&Other
"Working with Odoo 10 - Second Edition
Book",Business&Other
"Fixing Bad UX Designs
Book",Business&Other
"PowerShell: Automating Administrative Tasks
Book",Business&Other
"Emotional Intelligence for IT Professionals
Book",Business&Other
"Office 365 Essentials
Book",Business&Other
"Microsoft Dynamics AX 2009 Development Cookbook
Book",Business&Other
"Compiere 3
Book",Business&Other
"jQuery UI 1.8: The User Interface Library for jQuery
Book",Business&Other
"Getting Started with Oracle Hyperion Planning 11
Book",Business&Other
"Backbase 4 RIA Development
Book",Business&Other
"Oracle Warehouse Builder 11g R2: Getting Started 2011
Book",Business&Other
"SketchUp 7.1 for Architectural Visualization: Beginner's Guide
Book",Business&Other
"Microsoft System Center 2012 Orchestrator Cookbook
Book",Business&Other
"Maximize Your Investment: 10 Key Strategies for Effective Packaged Software Implementations
Book",Business&Other
"Getting Started with Dynamics NAV 2013 Application Development
Book",Business&Other
"ADempiere 3.6 Cookbook
Book",Business&Other
"Microsoft Dynamics AX 2009 Administration
Book",Business&Other
"Sony Vegas Pro 11 Beginner's Guide
Book",Business&Other
"Mastering Prezi for Business Presentations
Book",Business&Other
"iClone 4.31 3D Animation Beginner's Guide
Book",Business&Other
"Final Cut Pro X Cookbook
Book",Business&Other
"Learning Adobe Edge Animate
Book",Business&Other
"WS-BPEL 2.0 for SOA Composite Applications with IBM WebSphere 7
Book",Business&Other
"Microsoft Dynamics GP 2013 Reporting - Second Edition
Book",Business&Other
"Apache OFBiz Development: The Beginner's Tutorial
Book",Business&Other
"SharePoint Designer Tutorial: Working with SharePoint Websites
Book",Business&Other
"Management in India: Grow from an Accidental to a successful manager in the IT & knowledge industry
Book",Business&Other
"Implementing Microsoft Dynamics NAV 2009
Book",Business&Other
"Business Intelligence Cookbook: A Project Lifecycle Approach Using Oracle Technology
Book",Business&Other
"Oracle Essbase 9 Implementation Guide
Book",Business&Other
"Programming Microsoft Dynamics NAV 2009
Book",Business&Other
"ADempiere 3.4 ERP Solutions
Book",Business&Other
"Getting started with Audacity 1.3
Book",Business&Other
"jQuery UI 1.7: The User Interface Library for jQuery
Book",Business&Other
"Programming Microsoft Dynamics� NAV 2013[eBook]
Book",Business&Other
"FreeSWITCH 1.0.6
Book",Business&Other
"IBM Rational Team Concert 2 Essentials
Book",Business&Other
"Avid Media Composer 6.x Cookbook
Book",Business&Other
"Microsoft Dynamics GP 2013 Cookbook
Book",Business&Other
"Ext JS 4 First Look
Book",Business&Other
"LMMS: A Complete Guide to Dance Music Production
Book",Business&Other
"Rake Task Management Essentials
Book",Business&Other
"Scratch Cookbook
Book",Business&Other
"ExtGWT Rich Internet Application Cookbook
Book",Business&Other
"Cinder Creative Coding Cookbook
Book",Business&Other
"Kinect in Motion � Audio and Visual Tracking by Example
Book",Business&Other
"Sencha MVC Architecture
Book",Business&Other
"Learning MS Dynamics AX 2012 Programming
Book",Business&Other
"Microsoft Dynamics GP 2013 Financial Management
Book",Business&Other
"IBM Lotus Sametime 8 Essentials: A User's Guide
Book",Business&Other
"Microsoft SharePoint 2010 End User Guide: Business Performance Enhancement
Book",Business&Other
"Microsoft SharePoint 2010 Administration Cookbook
Book",Business&Other
"The Professional Woman's Guide to Managing Men
Book",Business&Other
"Governance, Risk, and Compliance Handbook for Oracle Applications
Book",Business&Other
"Oracle User Productivity Kit 3.5
Book",Business&Other
"Oracle JD Edwards EnterpriseOne 9.0: Supply Chain Management Cookbook
Book",Business&Other
"Oracle Weblogic Server 11gR1 PS2: Administration Essentials
Book",Business&Other
"Microsoft SharePoint 2013 Disaster Recovery Guide
Book",Business&Other
"Programming Windows Workflow Foundation: Practical WF Techniques and Examples using XAML and C#
Book",Business&Other
"Implementing Microsoft Dynamics NAV 2013
Book",Business&Other
"Oracle SOA Suite 11g Administrator's Handbook
Book",Business&Other
"Implementing Microsoft Dynamics AX 2012 with Sure Step 2012
Book",Business&Other
"Oracle Enterprise Manager 12c Administration Cookbook
Book",Business&Other
"Microsoft Dynamics AX 2012 R2 Administration Cookbook
Book",Business&Other
"The Professional Woman's Guide to Conflict Management
Book",Business&Other
"Pro Tools HD: Advanced Techniques and Workflows
Book",Business&Other
"The Manager's Guide to Presentations
Book",Business&Other
"ASP.NET 4 Social Networking
Book",Business&Other
"Extending Microsoft Dynamics AX 2012 Cookbook
Book",Business&Other
"Prezi Cookbook
Book",Business&Other
"Building Impressive Presentations with impress.js
Book",Business&Other
"Microsoft System Center PowerShell Essentials
Book",Business&Other
"Agile Project Management with GreenHopper 6 Blueprints
Book",Business&Other
"Programming Microsoft Dynamics NAV
Book",Business&Other
"The Manager's Guide to Mediating Conflict
Book",Business&Other
"From Voices to Results - Voice of Customer Questions, Tools and Analysis
Book",Business&Other
"Learning Axure RP Interactive Prototypes
Book",Business&Other
"Mapping and Visualization with SuperCollider
Book",Business&Other
"Articulate Storyline Essentials
Book",Business&Other
"Power Up Your PowToon Studio Project
Book",Business&Other
"Microsoft BizTalk Server 2010 Patterns
Book",Business&Other
"Mastering Windows Presentation Foundation
Book",Business&Other
"Learning Anime Studio
Book",Business&Other
"User Training for Busy Programmers
Book",Business&Other
"Practical Network Automation
Book",Business&Other
"The Business Analyst's Guide to Oracle Hyperion Interactive Reporting 11
Book",Business&Other
"Building Dashboards with Microsoft Dynamics GP 2013 and Excel 2013
Book",Business&Other
"Axure RP 6 Prototyping Essentials
Book",Business&Other
"Manga Studio 5 Beginner's Guide
Book",Business&Other
"SketchBook Pro Digital Painting Essentials
Book",Business&Other
"Prototyping Essentials with Axure
Book",Business&Other
"Wireframing Essentials
Book",Business&Other
"ODP.NET Developer's Guide: Oracle Database 10g Development with Visual Studio 2005 and the Oracle Data Provider for .NET
Book",Business&Other
"SDL Trados Studio - A Practical Guide
Book",Business&Other
"Vue.js: Understanding its Tools and Ecosystem
Book",Business&Other
"Hearing the Voice of the Customer
Book",Business&Other
"After Action Review: Continuous Improvement Made Easy
Book",Business&Other
"Microsoft Dynamics NAV
Book",Business&Other
"Quantifiably Better: Delivering HR Analytics from Start to Finish
Book",Business&Other
"JIRA Strategy Admin Workbook
Book",Business&Other
"Flow-based Leadership: What the Best Firefighters can Teach You about Leadership and Making Hard Decisions
Book",Business&Other
"PowerCLI Essentials
Book",Business&Other
"The Professional Woman's Guide to Getting Promoted
Book",Business&Other
"Intelligent Document Capture with Ephesoft - Second Edition
Book",Business&Other
"And People? Why Are Managers’ Cars the Most Important Asset in Every Organization?
Book",Business&Other
"Mastering vRealize Operations Manager
Book",Business&Other
"JIRA Essentials - Third Edition
Book",Business&Other
"Many Cultures, One Team
Book",Business&Other
"Gamification for Employee Engagement
Book",Business&Other
"Competing to Win: Lessons Learned for Reaching the Next Level of Organizational Performance
Book",Business&Other
"Extreme Scoping: An Agile Approach to Enterprise Data Warehousing and Business Intelligence
Book",Business&Other
"Managing the New Generation
Book",Business&Other
"Interviewing Engineering Graduates
Book",Business&Other
"The Manager's Guide to Conducting Interviews
Book",Business&Other
"Running Effective Marketing Meetings
Book",Business&Other
"Prezi Essentials
Book",Business&Other
"PrimeFaces Blueprints
Book",Business&Other
"Connecting the Data: Data Integration Techniques for Building an Operational Data Store (ODS)
Book",Business&Other
"Mastering Management Styles: Expert Guidance for Managers
Book",Business&Other
"Prezi HOTSHOT
Book",Business&Other
"First Time Firing
Book",Business&Other
"Lightning Fast Animation in Element 3D
Book",Business&Other
"The Professional Woman's Guide to Giving Feedback
Book",Business&Other
"Social Networking in Recruitment
Book",Business&Other
"Getting Started with Review Board
Book",Business&Other
"VMware vCenter Operations Manager Essentials
Book",Business&Other
"Attracting IT Graduates to Your Business
Book",Business&Other
"Instant HubSpot Dashboard Customization
Book",Business&Other
"Team Foundation Server 2013 Customization
Book",Business&Other
"The Manager's Guide to Employee Feedback
Book",Business&Other
"Monitoring with Opsview
Book",Business&Other
"Mobile Prototyping with Axure 7
Book",Business&Other
"Instant Social Media Marketing with HootSuite
Book",Business&Other
"Instant Brainshark
Book",Business&Other
"Mastering Manga Studio 5
Book",Business&Other
"Microsoft Dynamics AX 2012 Reporting Cookbook
Book",Business&Other
"Building UIs with Wijmo
Book",Business&Other
"Instant Audio Processing with Web Audio
Book",Business&Other
"Instant MuseScore
Book",Business&Other
"Mastering Apple Aperture
Book",Business&Other
"Sencha Touch Cookbook, Second Edition
Book",Business&Other
"Instant AutoIt Scripting
Book",Business&Other
"Sencha Architect App Development
Book",Business&Other
"Instant PrimeFaces Starter
Book",Business&Other
"Getting Started with Oracle Tuxedo
Book",Business&Other
"Instant Apache ActiveMQ Messaging Application Development How-to
Book",Business&Other
"Instant HTML5 Geolocation How-to
Book",Business&Other
"JIRA 5.2 Essentials
Book",Business&Other
"Getting Started with Oracle Event Processing 11g
Book",Business&Other
"Instant Cinema 4D Starter
Book",Business&Other
"Instant Apple iBooks How-to
Book",Business&Other
"Instant Team Foundation Server 2012 and Project Server 2010 Integration How-to
Book",Business&Other
"Instant LinkedIn Customization How-to
Book",Business&Other
"Instant GIMP Starter
Book",Business&Other
"Instant Autodesk Revit 2013 Customization with .NET How-to
Book",Business&Other
"Instant Google Drive Starter
Book",Business&Other
"Microsoft Dynamics AX 2012 Services
Book",Business&Other
"Yammer Starter
Book",Business&Other
"iWork for Mac OS X Cookbook
Book",Business&Other
"Intelligent Document Capture with Ephesoft
Book",Business&Other
"Microsoft Dynamics AX 2012 Development Cookbook
Book",Business&Other
"Adobe Edge Quickstart Guide
Book",Business&Other
"iPhone User Interface Cookbook
Book",Business&Other
"Google Plus First Look: a tip-packed, comprehensive look at Google+
Book",Business&Other
"Agile IT Security Implementation Methodology
Book",Business&Other
"Mahara 1.4 Cookbook
Book",Business&Other
"JIRA 4 Essentials
Book",Business&Other
"Oracle Enterprise Manager Grid Control 11g R1: Business Service Management
Book",Business&Other
"IBM Lotus Notes 8.5 User Guide: LITE
Book",Business&Other
"Microsoft Dynamics GP 2010 Cookbook: LITE
Book",Business&Other
"Middleware Management with Oracle Enterprise Manager Grid Control 10g R5: LITE
Book",Business&Other
"Processing XML documents with Oracle JDeveloper 11g: LITE
Book",Business&Other
"Microsoft Dynamics GP 2010 Reporting
Book",Business&Other
"jQuery 1.4 Animation Techniques: Beginners Guide
Book",Business&Other
"Liferay User Interface Development
Book",Business&Other
"Microsoft Dynamics GP 2010 Implementation
Book",Business&Other
"OmniGraffle 5 Diagramming Essentials
Book",Business&Other
"How Work Gets Done: Business Process Management, Basics & Beyond
Book",Business&Other
"Microsoft Dynamics NAV Administration
Book",Business&Other
"Silverlight 4 User Interface Cookbook
Book",Business&Other
"BPEL PM and OSB operational management with Oracle Enterprise Manager 10g Grid Control
Book",Business&Other
"Joomla! Social Networking with JomSocial
Book",Business&Other
"recrEAtion: Realizing the Extraordinary Contribution of Your Enterprise Architects
Book",Business&Other
"Microsoft Dynamics GP 2010 Cookbook
Book",Business&Other
"Drupal 6 Social Networking
Book",Business&Other
"Learning Ext JS
Book",Business&Other
"fruITion: Creating the Ultimate Corporate Strategy for Information Technology
Book",Business&Other
"Learning the Yahoo! User Interface library
Book",Business&Other
"Quality Assurance for Dynamics AX-Based ERP Solutions
Book",Business&Other
"SOA Approach to Integration
Book",Business&Other
"TrixBox: La telefonia VoIP resa semplice [Italian]
Book",Business&Other
"Costruire Sistemi Telefonici con Asterisk [Italiano]
Book",Business&Other
"TrixBox Made Easy
Book",Business&Other
"Microsoft 365 Certified Fundamentals MS-900 Exam Guide
Book",Business&Other
"Deploying Microsoft 365 Teamwork: Exam MS-300 Guide
Book",Business&Other
"Microsoft 365 Mobility and Security – Exam Guide MS-101
Book",Business&Other
"Office 365 User Guide
Book",Business&Other
Microsoft 365 and SharePoint Online Cookbook: Over 100 actionable recipes to help you perform everyday tasks effectively in Microsoft 365,Business&Other
Token Economy: How the Web3 reinvents the Internet,Business&Other
Trace Your German Roots Online: A Complete Guide to German Genealogy Websites,Business&Other
"Your Office: Microsoft Office 365, Excel 2019 Comprehensive",Business&Other
Microsoft 365 Certified Fundamentals MS-900 Exam Guide: Expert tips and techniques to pass the MS-900 certification exam on the first attempt,Business&Other
"Microsoft 365 Mobility and Security ??Exam Guide MS-101: Explore threat management, governance, security, compliance, and device services in Microsoft 365",Business&Other
Teach Yourself VISUALLY Excel 2010,Business&Other
EXCEL 2019: A Beginner?셲 Guide to Learn and Understand the Basics of Excel 2019,Business&Other
MOS 2013 Study Guide for Microsoft Excel (MOS Study Guide),Business&Other
"Excel 2019: 2 Books in one, A Basic Guide for Beginners + How to Use Formulas and Functions in Your Business, to Boosting your Productivity and Master Spreadsheets",Business&Other
Microsoft 365 Fundamentals Exam Ref MS-900,Business&Other
Exam Ref MS-101 Microsoft 365 Mobility and Security,Business&Other
Microsoft 365 Business for Admins For Dummies (For Dummies (Computer/Tech)),Business&Other
Excel 2020: Learn Excel Essential Skills with Smart Method. Learn the Basics of Excel in 30 Minutes. When You Improve with Excel 2020 You Feel like a Computer Artist,Business&Other
"Hands-On Machine Learning with Microsoft Excel 2019: Build complete data analysis flows, from data collection to visualization",Business&Other
Excel Pivot Tables & Charts: A Step By Step Visual Guide,Business&Other
Power Query for Power BI and Excel,Business&Other
Excel 2020: Learn how to Master Excel and Boost your Productivity with this Complete Guide,Business&Other
Pro Excel: Pivot tables & VLookUp (2 books in 1) - VBA Functions included,Business&Other
Microsoft Excel Data Analysis and Business Modeling,Business&Other
Marketing Analytics: Data-Driven Techniques with Microsoft Excel,Business&Other
Data Analysis Using SQL and Excel,Business&Other
Excel 2016 for Beginners: A Step by Step Guide to Learn Excel in One Day,Business&Other
Excel Formulas and Functions: Your Step-by-Step Guide to Effective Financial Analysis and Business Modeling,Business&Other
R for Excel Users: An Introduction to R for Excel Analysts,Business&Other
Supercharge Excel: When you learn to Write DAX for Power Pivot,Business&Other
Learn to Write DAX: A practical guide to learning Power Pivot for Excel and Power BI,Business&Other
Simple Predictive Analytics: Using Excel to Solve Business Problems,Business&Other
"Learn Microsoft Office 2019: A comprehensive guide to getting started with Word, PowerPoint, Excel, Access, and Outlook",Business&Other
Problem Solving Cases In Microsoft Access & Excel,Business&Other
Using Microsoft Excel and Access 2016 for Accounting,Business&Other
"Bundle: New Perspectives Microsoft Office 365 & Excel 2016: Comprehensive, Loose-leaf Version + MindTap Computing, 1 term (6 months) Printed Access Card",Business&Other
"Bundle: New Perspectives Microsoft Office 365 & Excel 2016: Comprehensive, Loose-leaf Version + SAM 365 & 2016 Assessments, Trainings, and Projects with 1 MindTap Reader Multi-Term Printed Access Card",Business&Other
Excel VBA: A Step-By-Step Guide To Learn And Master Excel VBA Programming,Business&Other
"Bundle: Shelly Cashman Series Microsoft Office 365 & Excel 2016: Comprehensive, Loose-leaf Version + SAM 365 & 2016 Assessments, Trainings, and ... MindTap Reader Multi-Term Printed Access Card",Business&Other
Exam 77-420 Microsoft Excel 2013,Business&Other
Problem Solving Cases In Microsoft Access and Excel,Business&Other
Excel VBA 24-Hour Trainer,Business&Other
The Excel Analyst's Guide to Access,Business&Other
Microsoft Office Excel & Access Integration,Business&Other
"Bundle: Shelly Cashman Series Microsoft Office 365 & Excel 2016: Comprehensive, Loose-leaf Version + MindTap Computing, 1 term (6 months) Printed Access Card",Business&Other
"Bundle: New Perspectives Microsoft Office 365 & Excel 2019 Comprehensive, Loose-leaf Version + MindTap, 1 term Printed Access Card",Business&Other
"Bundle: Print text and Cirrus for Benchmark Series - Microsoft Excel 365 - 2019 Edition - Levels 1 AND 2 - Access code card (Benchmark, Levels 1 & 2)",Business&Other
